scenario,workload,init,weather,d_min,q_kW,q_pct_of_base,P_base_kW,cop_ref,peak_T_j_C,peak_T_f_C
S2,nominal,precooled,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,80.9665478045924,17.160760270125444
S2,nominal,precooled,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,78.85353602903291,23.06274876119287
S2,nominal,precooled,dry,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,25.438990103091108
S2,nominal,precooled,dry,30,259.3971561471526,89.98909435412524,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,precooled,dry,45,172.7279130687494,59.922123656271445,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,precooled,dry,60,129.24868211395537,44.83847094800443,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,precooled,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,76.62962392589446,22.61207574381458
S2,nominal,precooled,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,24.038990152987743
S2,nominal,precooled,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,83.9766615300608,29.475826785578302
S2,nominal,precooled,humid,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,34.03899069582011
S2,nominal,precooled,humid,30,183.76643179230578,63.751565419235035,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,precooled,humid,45,121.95394048295886,42.307806376846536,288.2539912296177,3.7986213,85.0,35.0
S2,nominal,precooled,humid,60,91.26460895167412,31.6611778946625,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.68092208121215
S2,burst,nominal,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,28.467252960516216
S2,burst,nominal,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,31.472332375376475
S2,burst,nominal,dry,20,243.85967782738695,84.5988903005797,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,dry,30,153.0931679738646,53.1105110880888,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,dry,45,101.69255458717349,35.278801918189956,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,dry,60,76.09668802731137,26.3991793149862,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.68092208121215
S2,burst,nominal,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,28.467252960516216
S2,burst,nominal,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,31.472332375376475
S2,burst,nominal,humid,20,243.85967782738695,84.5988903005797,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,humid,30,153.0931679738646,53.1105110880888,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,humid,45,101.69255458717349,35.278801918189956,288.2539912296177,3.7986213,85.0,35.0
S2,burst,nominal,humid,60,76.09668802731137,26.3991793149862,288.2539912296177,3.7986213,85.0,35.0
S2,burst,precooled,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,71.50649842486658,16.198997719429144
S2,burst,precooled,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,18.41112686152735
S2,burst,precooled,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,80.0106702797535,23.568807398416226
S2,burst,precooled,dry,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,26.43899012474385
