variant,week,date,seed,revenue_usd,rebound_usd,penalty_usd,dwear_usd,shortfall_kWh,mv,sum_q_kW,delivery_ratio,warm,viol_K
single005,w03-jan-scarcity,2024-01-15,17,181.23448656710198,-0.08224696602178483,0.0,-25.42442622997568,0.0,206.74115976309946,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-15,17,171.24239917651775,-0.08224696602178483,0.0,-25.42442622997568,0.0,196.7490723725153,812.6222022086596,,0,0.0
single005,w03-jan-scarcity,2024-01-15,18,181.23448656710198,0.5420547742094186,0.0,-12.26553642614767,0.0,192.9579682190402,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-15,18,171.24239917651775,0.34205236892648827,0.0,-15.744606434566002,0.0,186.64495324215727,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-15,19,181.23448656710198,-1.0539314757237435,0.0,-21.372825313767137,0.0,203.66124335659276,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-15,19,171.24239917651775,-0.6927417201137587,0.0,-26.04275635711104,0.0,197.97789725374253,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-16,0,288.02479201630223,20.071452891138506,0.0,-35.277036706139725,0.0,303.2303758313034,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-16,0,276.1866466121137,15.32289065086536,0.0,-34.15465423843914,0.0,295.0184101996874,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-16,1,288.02479201630223,9.267801491613227,0.0,13.006339475943456,0.0,265.75065104874534,757.2828229643818,1.0,3,0.0
ctxfree,w03-jan-scarcity,2024-01-16,1,276.1866466121137,-6.259719673523932,0.0,-9.681349854142148,0.0,292.12771613977964,812.6222022086596,1.0,2,0.0
single005,w03-jan-scarcity,2024-01-16,2,288.02479201630223,21.018097304701996,0.0,-21.553530368324587,0.0,288.56022507992475,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-16,2,276.1866466121137,-0.4563765816112664,0.0,-29.606847681917117,0.0,306.24987087564205,812.6222022086596,1.0,1,0.0
