week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd
mild,2024-04-01,14,B2,60.17189456657972,1.5175351809691402,102.07646737048721,0.0,46.58457618799548,-147.14350837751357,0.0,,0,0,0.0,4,0,0,3.629186985557425,-0.05313901628508688
mild,2024-04-01,14,B3,0.0,0.0,102.11275211091709,0.0,48.14769657927062,-150.2604486901877,0.0,,0,0,0.0,3,0,0,0.5122466728832933,-0.016854275855209266
mild,2024-04-01,14,B4,0.0,0.0,102.1296063867723,0.0,48.64308897629869,-150.772695363071,0.0,,0,0,0.0,3,0,0,0.0,0.0
mild,2024-04-01,14,B5,950.0,7.651000000000001,0.7695138888888888,0.0,0.0,-1.3376919710806696,0.0,1.0,0,0,0.0,0,0,0,-1.3376919710806696,0.0
mild,2024-04-01,14,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,15,B1,0.0,0.0,101.19378823522078,0.0,58.00104320502218,-159.19483144024295,0.0,,0,0,0.0,3,0,0,0.0,0.0
mild,2024-04-01,15,B2,60.17189456657972,1.5175351809691402,101.15092026690193,0.0,56.06784803127399,-155.70123311720678,0.0,,0,0,0.0,4,0,0,3.493598323036167,-0.04286796831884487
mild,2024-04-01,15,B3,0.0,0.0,101.17693395933482,0.0,57.21554569001107,-158.3924796493459,0.0,,0,0,0.0,3,0,0,0.8023517908970632,-0.016854275885961556
mild,2024-04-01,15,B4,0.0,0.0,101.19378823522078,0.0,58.00104320502218,-159.19483144024295,0.0,,0,0,0.0,3,0,0,0.0,0.0
mild,2024-04-01,15,B5,950.0,7.651000000000001,0.41597222222222224,0.0,0.0,-0.984150304414003,0.0,1.0,0,0,0.0,0,0,0,-0.984150304414003,0.0
mild,2024-04-01,15,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,16,B1,0.0,0.0,101.83601160438624,0.0,87.58528115191643,-189.42129275630268,0.0,,0,0,0.0,6,0,0,0.0,0.0
mild,2024-04-01,16,B2,60.17189456657972,1.5175351809691402,102.03258794359594,0.0,112.95236233450149,-213.4674150971283,0.0,1.0,1,0,1.0928877183351773,6,0,0,-24.046122340825633,0.19657633920969886
mild,2024-04-01,16,B3,0.0,0.0,101.81915732866547,0.0,87.14920535769886,-188.96836268636434,0.0,,0,0,0.0,6,0,0,0.45293006993833274,-0.01685427572077458
