week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,kappa
mild,2024-04-01,10,B3,0.0,0.0,102.29492608036286,0.0,33.22041346474624,-135.5153395451091,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.022474972294389772,-0.022394217691754648,1.0
mild,2024-04-01,10,B4,0.0,0.0,102.31732029805461,0.0,33.220494219348865,-135.5378145174035,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,10,B5,950.0,7.651000000000001,0.5985416666666666,0.0,0.0,-1.1667197488584478,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.1667197488584478,0.0,1.0
mild,2024-04-01,10,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,1.0
mild,2024-04-01,11,B1,0.0,0.0,102.55863894425437,0.0,30.533083506921763,-133.09172245117614,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,11,B2,0.0,0.0,102.50056775276043,0.0,30.390574210361127,-132.89114196312156,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.20058048805458384,-0.058071191493937135,1.0
mild,2024-04-01,11,B3,0.0,0.0,102.53624472656263,0.0,30.45330635076198,-132.98955107732462,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.10217137385151887,-0.022394217691740437,1.0
mild,2024-04-01,11,B4,0.0,0.0,102.55863894425437,0.0,30.533083506921763,-133.09172245117614,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,11,B5,950.0,7.651000000000001,1.0305555555555554,0.0,0.0,-1.598733637747337,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.598733637747337,0.0,1.0
mild,2024-04-01,11,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,2.5269999999999992,0.0,1.0
mild,2024-04-01,12,B1,0.0,0.0,102.81545130531491,0.0,40.801580857274466,-143.61703216258937,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
