week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,n_safety_episodes,n_safety_episodes_in_safe_box,safety_episode_max_K,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,10,B3,248.8006451974789,3.4023488230755246,440.12439601864065,0.0,86.29466887490538,-523.0167160704706,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,21,0,0,10.71956702490752,-0.8329329035420869,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B4,215.53909605485802,2.8968327259668514,440.24577725377145,0.0,91.27753381976792,-528.6264783475725,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,22,0,0,5.109804747805583,-0.711551668411289,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-6.125178082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B1,0.0,0.0,442.33872761669477,0.0,69.10319953235575,-511.4419271490505,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B2,517.520285267172,6.955472633990791,441.2244507960878,0.924440165038189,80.95393503675629,-516.1473533638915,34.16260772498851,0.7359515466540453,1,1,0,0,0,1,0,0,0.0,2.4638491702908425,23,0,1,-4.7054262148409975,-1.1142768206069604,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B3,248.8006451974789,3.4023488230755246,441.5339983475158,0.0,56.45849098498464,-494.59014050942494,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,16.851786639625573,-0.8047292691789494,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B4,215.53909605485802,2.8968327259668514,441.37965123454774,0.0,68.57513196221643,-507.0579504707973,0.0,1.0,1,0,0,0,0,1,0,0,0.0,0.0,22,0,1,4.383976678253191,-0.9590763821470318,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B5,200.0,2.094,1.957361111111111,0.0,0.0,-8.082539193302892,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-8.082539193302892,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,11,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
